sigla;nome;cred_aula;cred_trabalho;ch_total
ACH0517;Estágio Supervisionado em Atividade Física III;6;4;210
ACH0518;Estágio Supervisionado em Atividade Física IV;6;4;210
ACH4687;Estágio Supervisionado I;0;5;150
ACH4688;Estágio Supervisionado II;0;5;150
ACH1004;Estatística;4;0;60
ACH5513;Estatística;4;0;60
ACH3553;Estatística I;2;0;30
ACH3584;Estatística II;2;0;30
ACH4727;Estética dos Meios de Comunicação;2;0;30
ACH4667;Estética dos Meios de Comunicação I;2;0;30
ACH2887;Estética e História da Arte Moderna;2;0;30
ACH2907;Estética e História da Arte Moderna Brasileira;2;0;30
ACH4027;Estrutura da Matéria;4;0;60
ACH4034;Estrutura e Funcionamento da Educação Básica no Brasil;4;1;90
ACH3807;Estruturas de Financiamento no Setor Público;2;0;30
ACH4196;Estudo Didático da Diversidade dos Grupos Menores de Invertebrados;2;0;30
ACH0595;Estudos Aplicados em Comportamento Motor;2;0;30
ACH0587;Estudos Avançados em Biomecânica;2;1;60
ACH0578;Estudos Avançados em Comportamento Motor;2;0;30
ACH0588;Estudos Avançados em Fisiologia do Exercício I;4;0;60
ACH0618;Estudos Avançados em Fisiologia do Exercício II;4;1;90
ACH0597;Estudos Avançados em Saúde Pública e Atividade Física;2;0;30
ACH0051;Estudos Diversificados I;2;0;30
ACH0052;Estudos Diversificados II;2;0;30
ACH0564;Estudos Interdisciplinares em Sociologia do Esporte;4;2;120
ACH3033;Ética;2;0;30
ACH5008;Ética e Legislação Profissional;2;0;30
ACH3667;Ética e Políticas Públicas;2;0;30
ACH4508;Ética em Marketing;2;0;30
ACH5503;Ética em Pesquisa e Desenvolvimento;4;0;60
ACH2697;Etnografia Têxtil: da Teoria ao Campo;4;0;60
ACH5541;Evolução Biológica e Aplicada;2;0;30
ACH0586;Evolução do Método e Pesquisa Científica em Educação Física e Esporte;2;0;30
ACH4538;Evolução do Pensamento de Marketing;2;0;30
ACH4006;Evolução e Biodiversidade;2;0;30
ACH4066;Experimentos de Astronomia para o Ensino de Ciências;2;1;60
ACH2777;Experimentos em Moulage e Modelagem Plana;2;0;30
ACH3114;Farmacoepidemiologia Básica em Gerontologia;2;0;30
ACH5535;Farmacologia;4;0;60
ACH5535;Farmacologia para Biotecnologia;4;0;60
ACH3146;Farmacoterapia no Idoso;4;0;60
ACH3606;Federalismo Fiscal e Competência Tributária;4;0;60
ACH5514;Fenômenos dos Transportes;4;0;60
ACH2521;Fibras;2;0;30
ACH4584;Finanças;4;0;60
ACH4523;Finanças I;2;0;30
ACH4524;Finanças II;2;0;30
ACH2512;Física Têxtil;4;0;60
ACH5502;Físico-Química;4;0;60
ACH5035;Fisiologia da Gestação, Parto e Pós-Parto;4;0;60
ACH0655;Fisiologia do Exercício;4;0;60
ACH3116;Fisiologia do Exercício e Envelhecimento;2;1;60
ACH5533;Fisiologia Humana I;4;0;60
ACH5534;Fisiologia Humana II;4;0;60
ACH1015;Fluidos em Meios Porosos e Fraturados;2;0;30
ACH1047;Fontes de Energia e Meio Ambiente;2;1;60
ACH5515;Formação e Comportamento Geoquímico dos Solos;4;2;120
ACH3521;Formação Econômica e Social do Brasil I;4;0;60
ACH3524;Formação Econômica e Social do Brasil II;6;0;90
ACH3545;Formulação, Implementação e Avaliação de Políticas Públicas I;4;0;60
ACH3546;Formulação, Implementação e Avaliação de Políticas Públicas II;4;0;60
ACH3547;Formulação, Implementação e Avaliação de Políticas Públicas III;2;0;30
ACH4014;Funções de Várias Variáveis;4;0;60
ACH3022;Fundamentação do Processo de Cuidar em Saúde;2;2;90
ACH8632;Fundamentação do Processo de Cuidar I;4;0;60
ACH5033;Fundamentação do Processo de Cuidar II;14;1;240
ACH0563;Fundamentos Biológicos da Atividade Física I;4;0;60
ACH0504;Fundamentos Biológicos da Atividade Física II;4;0;60
ACH0505;Fundamentos Biológicos da Atividade Física III;4;0;60
ACH0605;Fundamentos Biológicos da Atividade Física IV;4;0;60
ACH3002;Fundamentos Biológicos da Gerontologia I;4;0;60
ACH3003;Fundamentos Biológicos da Gerontologia II;4;0;60
ACH3004;Fundamentos Biológicos da Gerontologia III;4;0;60
ACH3004;Fundamentos Biológicos da Gerontologia III;4;0;60
ACH3006;Fundamentos Biológicos da Gerontologia IV;4;0;60
ACH5002;Fundamentos Biológicos da Obstetrícia I;4;0;60
ACH5003;Fundamentos Biológicos da Obstetrícia II;4;0;60
ACH5004;Fundamentos Biológicos da Obstetrícia III;4;0;60
ACH5005;Fundamentos Biológicos da Obstetrícia IV;4;0;60
ACH1001;Fundamentos da Ciência Ambiental;2;1;60
ACH4512;Fundamentos da Comunicação I;2;0;30
ACH4522;Fundamentos da Comunicação II;2;0;30
ACH4012;Fundamentos da Didática;4;1;90
